"order_id","customer_id","product_name","region","customer_segment","order_date","last_update_unix","units_sold","unit_price","notes","last_update","notes_clean","revenue","month"
100000,2978,Keyboard,Central,Corporate,2023-05-29 00:00:00.000,1685743200,20,457.9,Call customer before delivery @@@,2023-06-02 22:00:00.000,Call customer before delivery ,9158.0,"2023-05"
100001,3432,Laptop,West,Consumer,2023-11-15 00:00:00.000,1699999200,3,1602.69,Customer requested fast shipping!!!,2023-11-14 22:00:00.000,Customer requested fast shipping,4808.07,"2023-11"
100002,3581,Camera,East,Home Office,2024-07-05 00:00:00.000,1720216800,12,227.16,Gift-wrap requested @ checkout,2024-07-05 22:00:00.000,Giftwrap requested  checkout,2725.92,"2024-07"
100003,2558,Phone,South,Home Office,2023-09-29 00:00:00.000,1696111200,16,1121.47,Gift-wrap requested @ checkout,2023-09-30 22:00:00.000,Giftwrap requested  checkout,17943.52,"2023-09"
100004,2834,Headphones,North,Consumer,2023-08-04 00:00:00.000,1691359200,2,1363.06,Call customer before delivery @@@,2023-08-06 22:00:00.000,Call customer before delivery ,2726.12,"2023-08"
100005,1979,Phone,East,Corporate,2024-10-11 00:00:00.000,1728597600,9,1084.22,Urgent order!!!,2024-10-10 22:00:00.000,Urgent order,9757.98,"2024-10"
100006,2910,Camera,West,Home Office,2024-09-20 00:00:00.000,1726956000,16,949.6,Gift-wrap requested @ checkout,2024-09-21 22:00:00.000,Giftwrap requested  checkout,15193.6,"2024-09"
100007,2868,Tablet,Central,Consumer,2024-12-14 00:00:00.000,1734472800,10,222.69,Handle with care!!!,2024-12-17 22:00:00.000,Handle with care,2226.9,"2024-12"
100008,4350,Printer,Central,Consumer,2023-08-31 00:00:00.000,1693778400,13,1350.55,Customer requested fast shipping!!!,2023-09-03 22:00:00.000,Customer requested fast shipping,17557.149999999998,"2023-08"
100009,2002,Router,West,Home Office,2023-10-03 00:00:00.000,1696716000,7,1430.4,Special discount applied %,2023-10-07 22:00:00.000,Special discount applied ,10012.800000000001,"2023-10"
100010,4018,Phone,West,Home Office,2023-12-25 00:00:00.000,1703455200,9,1339.71,VIP customer order $$$,2023-12-24 22:00:00.000,VIP customer order ,12057.39,"2023-12"
100011,3499,Camera,West,Corporate,2023-07-20 00:00:00.000,1689890400,5,1929.59,Leave package at door ###,2023-07-20 22:00:00.000,Leave package at door ,9647.949999999999,"2023-07"
100012,3315,Laptop,South,Home Office,2024-10-25 00:00:00.000,1729893600,16,922.05,Customer requested fast shipping!!!,2024-10-25 22:00:00.000,Customer requested fast shipping,14752.8,"2024-10"
100013,4001,Keyboard,East,Consumer,2023-12-29 00:00:00.000,1703887200,8,1036.92,Gift-wrap requested @ checkout,2023-12-29 22:00:00.000,Giftwrap requested  checkout,8295.36,"2023-12"
100014,4180,Monitor,North,Consumer,2024-09-24 00:00:00.000,1727215200,15,172.96,Fragile item ***,2024-09-24 22:00:00.000,Fragile item ,2594.4,"2024-09"
100015,2257,Tablet,Central,Home Office,2023-01-26 00:00:00.000,1675029600,20,1287.23,Leave package at door ###,2023-01-29 22:00:00.000,Leave package at door ,25744.6,"2023-01"
100016,1507,Laptop,South,Home Office,2024-05-04 00:00:00.000,1714773600,10,57.14,Late delivery #complaint,2024-05-03 22:00:00.000,Late delivery complaint,571.4,"2024-05"
100017,2844,Camera,South,Home Office,2024-03-16 00:00:00.000,1710540000,17,1800.13,Gift-wrap requested @ checkout,2024-03-15 22:00:00.000,Giftwrap requested  checkout,30602.210000000003,"2024-03"
100018,2322,Router,West,Consumer,2024-12-26 00:00:00.000,1735509600,12,995.66,Urgent order!!!,2024-12-29 22:00:00.000,Urgent order,11947.92,"2024-12"
100019,1698,Tablet,Central,Home Office,2024-03-08 00:00:00.000,1710021600,19,664.32,Handle with care!!!,2024-03-09 22:00:00.000,Handle with care,12622.080000000002,"2024-03"
100020,1351,Tablet,Central,Home Office,2024-12-03 00:00:00.000,1733608800,9,771.03,Special discount applied %,2024-12-07 22:00:00.000,Special discount applied ,6939.2699999999995,"2024-12"
100021,3077,Laptop,North,Consumer,2024-07-06 00:00:00.000,1720648800,9,312.2,Special discount applied %,2024-07-10 22:00:00.000,Special discount applied ,2809.7999999999997,"2024-07"
